trace_id,algorithm,size,backend,reference_shots,floor_mean_tvd_20k_vs_20k,floor_ci2p5_tvd_20k_vs_20k,floor_ci50_tvd_20k_vs_20k,floor_ci97p5_tvd_20k_vs_20k
qft_4_fake_kyiv,qft,4,fake_kyiv,20000,0.0155301,0.01027375,0.015224999999999999,0.022176250000000005
qft_4_fake_marrakesh,qft,4,fake_marrakesh,20000,0.0154513,0.009673750000000004,0.015449999999999998,0.021799999999999996
qft_4_fake_sherbrooke,qft,4,fake_sherbrooke,20000,0.015402800000000001,0.009549999999999994,0.015399999999999997,0.02115749999999999
qft_4_fake_torino,qft,4,fake_torino,20000,0.0153508,0.01005000000000001,0.0154,0.021178749999999993
qft_5_fake_fez,qft,5,fake_fez,20000,0.0220742,0.016571250000000003,0.021949999999999994,0.027855000000000005
qft_5_fake_kyiv,qft,5,fake_kyiv,20000,0.022170299999999997,0.016297500000000006,0.021999999999999995,0.028452500000000002
qft_5_fake_marrakesh,qft,5,fake_marrakesh,20000,0.0224361,0.016716250000000005,0.022350000000000002,0.028981250000000007
qft_5_fake_sherbrooke,qft,5,fake_sherbrooke,20000,0.0220579,0.016723750000000003,0.021775000000000003,0.027878749999999997
qft_5_fake_torino,qft,5,fake_torino,20000,0.022068800000000003,0.01682125,0.021949999999999997,0.0284025
qft_6_fake_fez,qft,6,fake_fez,20000,0.031613999999999996,0.026323750000000003,0.031525,0.0375525
qft_6_fake_kyiv,qft,6,fake_kyiv,20000,0.0316576,0.026423749999999996,0.031575,0.0373
qft_6_fake_marrakesh,qft,6,fake_marrakesh,20000,0.031624099999999995,0.025699999999999994,0.031549999999999995,0.038378749999999996
qft_6_fake_sherbrooke,qft,6,fake_sherbrooke,20000,0.031703,0.025821250000000004,0.0315,0.037750000000000006
qft_6_fake_torino,qft,6,fake_torino,20000,0.031646799999999996,0.02605,0.03150000000000001,0.0375
qft_7_fake_fez,qft,7,fake_fez,20000,0.044830400000000006,0.03897375,0.0448,0.0508075
qft_7_fake_kyiv,qft,7,fake_kyiv,20000,0.0448375,0.03837125,0.044825000000000004,0.05055
qft_7_fake_marrakesh,qft,7,fake_marrakesh,20000,0.04509520000000001,0.03907375,0.044899999999999995,0.0510025
qft_7_fake_sherbrooke,qft,7,fake_sherbrooke,20000,0.04506,0.03927375,0.045125,0.05072625
qft_7_fake_torino,qft,7,fake_torino,20000,0.04497840000000001,0.039349999999999996,0.044899999999999995,0.05052625
qft_8_fake_fez,qft,8,fake_fez,20000,0.06371779999999999,0.05814999999999999,0.06355,0.0698525
qft_8_fake_kyiv,qft,8,fake_kyiv,20000,0.0635391,0.05802374999999999,0.063475,0.06939999999999999
qft_8_fake_marrakesh,qft,8,fake_marrakesh,20000,0.0636313,0.05822375,0.06355,0.06962625
qft_8_fake_sherbrooke,qft,8,fake_sherbrooke,20000,0.0635518,0.057623749999999994,0.06359999999999999,0.06956
qft_8_fake_torino,qft,8,fake_torino,20000,0.0636212,0.05832125,0.06355000000000001,0.06974999999999999
qft_9_fake_fez,qft,9,fake_fez,20000,0.0894615,0.08319750000000001,0.0894,0.095555
qft_9_fake_kyiv,qft,9,fake_kyiv,20000,0.0896056,0.08344750000000001,0.089675,0.09525
qft_9_fake_marrakesh,qft,9,fake_marrakesh,20000,0.0896804,0.0837,0.08965000000000001,0.09607874999999999
qft_9_fake_sherbrooke,qft,9,fake_sherbrooke,20000,0.0897352,0.08402125,0.08975,0.09602625
qft_9_fake_torino,qft,9,fake_torino,20000,0.08986580000000001,0.08372375,0.08979999999999999,0.09607624999999999
qnn_10_fake_fez,qnn,10,fake_fez,20000,0.1182015,0.1121975,0.11815,0.12415
qnn_10_fake_kyiv,qnn,10,fake_kyiv,20000,0.12435550000000001,0.1189,0.12434999999999999,0.13008625
qnn_10_fake_marrakesh,qnn,10,fake_marrakesh,20000,0.11500470000000002,0.10932125,0.1149,0.12062625
qnn_10_fake_sherbrooke,qnn,10,fake_sherbrooke,20000,0.12327500000000001,0.11712125000000001,0.12345,0.12907625
qnn_10_fake_torino,qnn,10,fake_torino,20000,0.1203453,0.11411875,0.12035000000000001,0.1259525
qnn_11_fake_fez,qnn,11,fake_fez,20000,0.16522,0.15947124999999998,0.16525,0.17112624999999998
qnn_11_fake_kyiv,qnn,11,fake_kyiv,20000,0.17434729999999998,0.16835,0.174325,0.18042625
qnn_11_fake_marrakesh,qnn,11,fake_marrakesh,20000,0.1592937,0.15259999999999999,0.1595,0.16557625
qnn_11_fake_sherbrooke,qnn,11,fake_sherbrooke,20000,0.1726015,0.16705,0.17265,0.1781
qnn_11_fake_torino,qnn,11,fake_torino,20000,0.1677071,0.16157375000000002,0.16765,0.1738
qnn_12_fake_fez,qnn,12,fake_fez,20000,0.2236455,0.21767124999999998,0.22365000000000002,0.22895249999999998
qnn_12_fake_kyiv,qnn,12,fake_kyiv,20000,0.2410268,0.2348,0.241,0.24667625
qnn_12_fake_marrakesh,qnn,12,fake_marrakesh,20000,0.2154176,0.2095975,0.21545,0.2209
qnn_12_fake_sherbrooke,qnn,12,fake_sherbrooke,20000,0.2376153,0.23102374999999997,0.23770000000000002,0.24362625
qnn_12_fake_torino,qnn,12,fake_torino,20000,0.2296297,0.22377375,0.22965000000000002,0.2355
qnn_13_fake_fez,qnn,13,fake_fez,20000,0.3051262,0.299395,0.30507500000000004,0.31097625
qnn_13_fake_kyiv,qnn,13,fake_kyiv,20000,0.320279,0.31437375,0.32035,0.32585000000000003
qnn_13_fake_marrakesh,qnn,13,fake_marrakesh,20000,0.2920283,0.28642375,0.29200000000000004,0.29765250000000004
qnn_13_fake_sherbrooke,qnn,13,fake_sherbrooke,20000,0.3179878,0.31177124999999994,0.318025,0.32407874999999997
qnn_13_fake_torino,qnn,13,fake_torino,20000,0.3097968000000001,0.30422125,0.30955,0.31602874999999997
qnn_14_fake_fez,qnn,14,fake_fez,20000,0.3765312,0.37071875000000004,0.37650000000000006,0.38292625
qnn_14_fake_kyiv,qnn,14,fake_kyiv,20000,0.39431550000000004,0.38859750000000004,0.39422500000000005,0.4001025
qnn_14_fake_marrakesh,qnn,14,fake_marrakesh,20000,0.3618923,0.35625,0.3619,0.36762625000000004
qnn_14_fake_sherbrooke,qnn,14,fake_sherbrooke,20000,0.39122450000000003,0.3855,0.39125000000000004,0.39682625000000005
qnn_14_fake_torino,qnn,14,fake_torino,20000,0.3818601,0.37559250000000005,0.3819,0.38782875
qnn_15_fake_fez,qnn,15,fake_fez,20000,0.43193200000000004,0.42602375000000003,0.431925,0.43770000000000003
qnn_15_fake_kyiv,qnn,15,fake_kyiv,20000,0.44897040000000005,0.44332375,0.44885,0.45547625
qnn_15_fake_marrakesh,qnn,15,fake_marrakesh,20000,0.41288650000000005,0.40729750000000003,0.41290000000000004,0.4186500000000001
qnn_15_fake_sherbrooke,qnn,15,fake_sherbrooke,20000,0.44747560000000003,0.4416975,0.4475,0.45322625000000005
qnn_15_fake_torino,qnn,15,fake_torino,20000,0.43737050000000005,0.43202125,0.43745,0.4430025000000001
qnn_4_fake_fez,qnn,4,fake_fez,20000,0.0130452,0.008049999999999977,0.012599999999999988,0.019326249999999996
qnn_4_fake_kyiv,qnn,4,fake_kyiv,20000,0.013427600000000001,0.00807375,0.013450000000000007,0.019278750000000008
qnn_4_fake_marrakesh,qnn,4,fake_marrakesh,20000,0.013068100000000001,0.008299999999999995,0.012750000000000015,0.019078749999999978
qnn_4_fake_sherbrooke,qnn,4,fake_sherbrooke,20000,0.0139003,0.009100000000000004,0.01375,0.019876249999999998
qnn_4_fake_torino,qnn,4,fake_torino,20000,0.0134235,0.008673749999999992,0.013175000000000003,0.0198525
qnn_5_fake_fez,qnn,5,fake_fez,20000,0.0201327,0.014747499999999995,0.020025,0.025902500000000002
qnn_5_fake_kyiv,qnn,5,fake_kyiv,20000,0.020886099999999998,0.015723749999999995,0.020750000000000005,0.027076249999999996
qnn_5_fake_marrakesh,qnn,5,fake_marrakesh,20000,0.019738500000000003,0.01392375000000001,0.019799999999999995,0.026078749999999994
qnn_5_fake_sherbrooke,qnn,5,fake_sherbrooke,20000,0.020808100000000003,0.015423749999999998,0.020750000000000008,0.026876249999999994
qnn_5_fake_torino,qnn,5,fake_torino,20000,0.020582999999999997,0.01475,0.02039999999999999,0.026649999999999997
qnn_6_fake_fez,qnn,6,fake_fez,20000,0.026615,0.021499999999999995,0.026449999999999994,0.03283374999999999
qnn_6_fake_kyiv,qnn,6,fake_kyiv,20000,0.0290673,0.02342375,0.02905,0.03493124999999999
qnn_6_fake_marrakesh,qnn,6,fake_marrakesh,20000,0.025414299999999997,0.020723749999999996,0.025249999999999995,0.030902500000000003
qnn_6_fake_sherbrooke,qnn,6,fake_sherbrooke,20000,0.028302300000000002,0.022899999999999993,0.028200000000000003,0.03462875
qnn_6_fake_torino,qnn,6,fake_torino,20000,0.027527100000000002,0.02224750000000001,0.027374999999999993,0.03365
qnn_7_fake_fez,qnn,7,fake_fez,20000,0.0429208,0.03725,0.04304999999999999,0.04920249999999999
qnn_7_fake_kyiv,qnn,7,fake_kyiv,20000,0.044566499999999995,0.039395,0.04425,0.050300000000000004
qnn_7_fake_marrakesh,qnn,7,fake_marrakesh,20000,0.0422504,0.03649500000000001,0.0422,0.04837625
qnn_7_fake_sherbrooke,qnn,7,fake_sherbrooke,20000,0.0438135,0.03827375,0.04385,0.049749999999999996
qnn_7_fake_torino,qnn,7,fake_torino,20000,0.0433818,0.03772375,0.04335,0.04907875
qnn_8_fake_fez,qnn,8,fake_fez,20000,0.056539400000000004,0.05061875,0.056575,0.0634025
qnn_8_fake_kyiv,qnn,8,fake_kyiv,20000,0.0607031,0.05532125,0.060524999999999995,0.0665525
qnn_8_fake_marrakesh,qnn,8,fake_marrakesh,20000,0.0554131,0.04997375,0.055349999999999996,0.06137625000000001
